Mercury,Venus,Mars
12.45,4.33,14.01
12.51,4.40,13.94
12.57,4.47,13.87
12.63,4.54,13.81
12.68,4.60,13.73
12.71,4.67,13.65
12.75,4.74,13.58
12.77,4.81,13.51
12.78,4.87,13.44
12.80,4.95,13.37
12.80,5.01,13.30
12.79,5.08,13.22
12.78,5.16,13.15
12.76,5.22,13.07
12.74,5.30,13.00
12.70,5.37,12.94
12.65,5.44,12.86
12.61,5.51,12.79
12.55,5.58,12.71
12.49,5.65,12.63
12.41,5.72,12.57
12.33,5.80,12.49
12.25,5.86,12.41
12.16,5.93,12.34
12.05,6.01,12.27
11.95,6.08,12.19
11.83,6.15,12.12
11.72,6.22,12.05
11.60,6.29,11.97
11.46,6.36,11.90
11.33,6.44,11.81
11.19,6.51,11.74
11.04,6.57,11.67
10.90,6.66,11.60
10.74,6.73,11.53
10.58,6.80,11.45
10.42,6.87,11.37
10.25,6.94,11.30
10.07,7.01,11.23
9.89,7.08,11.14
9.72,7.16,11.07
9.53,7.23,11.00
9.36,7.30,10.92
9.15,7.36,10.85
8.97,7.44,10.78
8.78,7.52,10.70
8.59,7.58,10.63
8.40,7.66,10.55
8.21,7.72,10.47
8.02,7.79,10.40
7.85,7.87,10.32
7.66,7.94,10.25
7.48,8.00,10.17
7.30,8.08,10.10
7.13,8.14,10.03
6.97,8.21,9.95
6.81,8.29,9.87
6.66,8.35,9.79
6.52,8.43,9.72
6.39,8.49,9.65
6.27,8.56,9.58
6.16,8.63,9.50
6.07,8.70,9.42
5.98,8.77,9.36
5.91,8.83,9.28
5.87,8.91,9.20
5.82,8.97,9.13
5.80,9.04,9.06
5.81,9.11,8.99
5.81,9.17,8.91
5.84,9.24,8.85
5.89,9.31,8.76
5.94,9.38,8.69
6.03,9.44,8.61
6.11,9.51,8.55
6.21,9.58,8.48
6.32,9.63,8.40
6.45,9.71,8.34
6.60,9.77,8.26
6.74,9.84,8.19
6.89,9.91,8.12
7.05,9.97,8.04
7.22,10.03,7.98
7.40,10.10,7.90
7.58,10.17,7.84
7.75,10.22,7.76
7.93,10.29,7.70
8.12,10.34,7.63
8.32,10.41,7.56
8.50,10.48,7.49
8.69,10.55,7.42
8.87,10.60,7.36
9.07,10.66,7.29
9.26,10.73,7.22
9.44,10.79,7.16
9.63,10.85,7.09
9.80,10.91,7.02
9.99,10.98,6.96
10.16,11.03,6.90
10.33,11.09,6.83
10.49,11.14,6.77
10.66,11.22,6.71
10.82,11.28,6.65
10.97,11.33,6.59
11.11,11.39,6.52
11.27,11.45,6.46
11.40,11.50,6.41
11.54,11.56,6.35
11.66,11.62,6.29
11.78,11.67,6.23
11.90,11.74,6.18
12.01,11.79,6.11
12.10,11.85,6.07
12.20,11.90,6.01
12.29,11.96,5.96
12.38,12.02,5.91
12.45,12.07,5.85
12.52,12.12,5.81
12.57,12.18,5.76
12.63,12.23,5.72
12.68,12.29,5.66
12.72,12.35,5.62
12.74,12.39,5.58
12.77,12.45,5.54
12.79,12.50,5.48
12.80,12.55,5.45
12.80,12.61,5.42
12.79,12.65,5.37
12.77,12.70,5.34
12.76,12.75,5.30
12.73,12.80,5.27
12.69,12.86,5.23
12.66,12.91,5.20
12.61,12.96,5.16
12.54,13.00,5.14
12.48,13.05,5.11
12.40,13.10,5.08
12.33,13.15,5.06
12.25,13.20,5.04
12.15,13.25,5.02
12.05,13.29,5.00
